# Episode Rewards
# Episode_Index	Reward
0	-203.91811167686916
1	-697.3287381140126
2	-443.9724470796628
3	-498.63469127617657
4	-2069.954316505014
5	-300.45009118010756
6	-714.8386116036634
7	-297.36400684027836
8	-232.88730295444853
9	-771.550301377988
10	-140.52283327761373
11	-519.2064215717178
12	-888.7004859512888
13	-976.6532924317576
14	-207.02174567311607
15	-4142.3996405249945
16	-2970.025417871469
17	-657.6740440119931
18	-470.08950760358687
19	-520.7251431232276
20	-655.4167493913354
21	-808.7542331839962
22	-6.304921010882097
23	-2504.008764583733
24	-32.02340108066748
25	-593.6323273484186
26	-61.229448373927724
27	-940.3587590988597
28	-420.7597186681817
29	-439.5639973953877
30	-519.4935028197049
31	-816.7167654274497
32	-879.194265593485
33	-451.87888130696115
34	-198.8726839031682
35	-916.756003214829
36	-679.7508955701945
37	-619.0548061615444
38	-456.2404572758969
39	-887.8695641131482
40	-22.765163625811297
41	-3021.9470208918165
42	-19.960285827180442
43	-771.0623150468195
44	-922.7559347173031
45	-821.2653963181564
46	-2251.413189855065
47	-3530.899990515193
48	-926.1371382204303
49	-274.44652645291654
50	-29.548482156018196
51	297.09557917560096
52	1022.252259268537
53	546.6801267723374
54	607.2797634539291
55	1248.5787882175625
56	1325.6156291751324
57	163.8033249003302
58	1889.5968884502543
59	464.9609508934748
60	2543.6156367028784
61	1323.4261531962852
62	1601.4283455048073
63	521.250919574384
64	1197.3510535998855
65	1598.384199297807
66	997.5326057596649
67	569.6936515901646
68	1626.4047237574182
69	-18410.696174342665
70	1224.5099413801963
71	-16785.038204859164
72	-16748.11176900932
73	-12210.218599418222
74	-16191.98477814835
75	-16964.788592475274
76	-16676.8315878031
77	-15963.327587473652
78	2007.3273327257502
79	-17051.59879832427
80	-18518.532576144644
81	-17465.001794488147
82	-10218.846370432444
83	-5467.470107960854
84	-1846.8588896250765
85	-7872.352730598234
86	1563.594508914565
87	-848.3836113170287
88	1091.5894362359684
89	246.71839207461676
90	-18696.43512906899
91	1259.2889076599463
92	-14850.976359019842
93	-172.72309639014776
94	-1744.358409160847
95	-17489.61839655579
96	108.21346401170607
97	-7426.91062223908
98	-695.946927034104
99	-5910.4512855245575
